Date,Inbound_Orders,Outbound_Orders,Avg_Scan_Time_s,Inventory_Level
2024-07-01,431,482,14.42,449
2024-07-02,441,417,18.85,473
2024-07-03,516,493,21.41,496
2024-07-04,725,418,15.14,803
2024-07-05,628,407,7.08,1024
2024-07-06,511,427,12.31,1108
2024-07-07,453,356,6.51,1205
2024-07-08,521,509,23.78,1217
2024-07-09,423,421,11.57,1219
2024-07-10,500,378,19.53,1341
2024-07-11,455,514,29.23,1282
2024-07-12,531,523,5.93,1290
2024-07-13,564,568,12.05,1286
2024-07-14,363,496,14.44,1153
2024-07-15,479,564,9.7,1068
2024-07-16,412,380,19.95,1100
2024-07-17,494,480,15.04,1114
2024-07-18,328,395,21.13,1047
2024-07-19,461,573,22.68,935
2024-07-20,622,550,26.11,1007
2024-07-21,618,435,10.96,1190
2024-07-22,565,300,24.33,1455
2024-07-23,477,401,5.14,1531
2024-07-24,525,485,11.48,1571
2024-07-25,535,385,11.75,1721
2024-07-26,550,389,19.45,1882
2024-07-27,396,442,27.4,1836
2024-07-28,568,536,10.42,1868
2024-07-29,470,404,16.12,1934
2024-07-30,582,291,19.79,2225
2024-07-31,445,483,10.47,2187
