Date,Inbound_Orders,Outbound_Orders,Avg_Scan_Time_s,Inventory_Level
2024-07-01,142,163,23.84,479
2024-07-02,262,214,7.4,527
2024-07-03,261,151,12.89,637
2024-07-04,291,230,27.9,698
2024-07-05,132,147,29.35,683
2024-07-06,157,179,6.45,661
2024-07-07,236,129,17.53,768
2024-07-08,254,146,9.73,876
2024-07-09,176,248,18.67,804
2024-07-10,206,175,27.79,835
2024-07-11,193,223,28.53,805
2024-07-12,184,220,15.56,769
2024-07-13,168,240,18.27,697
2024-07-14,258,183,23.9,772
2024-07-15,116,114,28.49,774
2024-07-16,212,90,7.05,896
2024-07-17,247,74,26.49,1069
2024-07-18,188,222,10.01,1035
2024-07-19,230,175,29.38,1090
2024-07-20,223,161,17.89,1152
2024-07-21,148,230,22.5,1070
2024-07-22,233,168,20.88,1135
2024-07-23,241,139,20.21,1237
2024-07-24,184,201,8.47,1220
2024-07-25,206,143,5.95,1283
2024-07-26,148,137,17.85,1294
2024-07-27,174,192,11.38,1276
2024-07-28,195,200,14.58,1271
2024-07-29,267,302,23.19,1236
2024-07-30,163,187,21.92,1212
2024-07-31,179,190,13.0,1201
